number,company,segment,tier,contact_name,title,linkedin_url,confidence,notes
20,SouthState Bank,bank,P1,Mark Brown,Chief Security Officer,https://linkedin.com/in/mark-brown-2429241,verified,
21,Columbia Bank,bank,P1,Juancarlos Martinez,SVP Chief Information Security Officer,https://linkedin.com/in/juancarlos-martinez-cissp-cism-61905b70,verified,
22,Valley National Bank,bank,P2,Michael Livni,Chief Information Security Officer,https://linkedin.com/in/michael-livni-crisc-623099166,verified,
23,Synovus,bank,P1,Douglas Hromco,Chief Security Officer (Pinnacle Financial),https://linkedin.com/in/doug-hromco,verified,Merged into Pinnacle May 2026
24,Pinnacle Financial,bank,P1,Douglas Hromco,Chief Security Officer,https://linkedin.com/in/doug-hromco,verified,
25,BOK Financial,bank,P1,Paul Tucker,CISO and Privacy Officer,https://linkedin.com/in/paultucker2,verified,
26,FNB Corporation,bank,P1,Scot Pflug,SVP CISO and Director Enterprise Fraud,https://linkedin.com/in/scot-pflug-46092a3,verified,
27,SoFi,bank,P1,Kurt Sauer,Chief Information Security Officer,https://linkedin.com/in/kurtsauer,verified,
28,EverBank,bank,P1,Joseph Baglino,SVP Chief Information Security Officer,https://linkedin.com/in/josephbaglino,verified,
29,Associated Banc-Corp,bank,P1,Joe Smits,Chief Information Security Officer,,likely,
30,MidFirst Bank,bank,P1,Clint Lawson,Chief Information Security Officer,https://linkedin.com/in/clintelawson,verified,
31,Bank OZK,bank,P2,Jeffrey Evans,Chief Information Security Officer,https://linkedin.com/in/jeffreyaevans,verified,
32,Prosperity Bank,bank,P2,Daniel Johnson,Chief Information Security Officer,https://linkedin.com/in/toomedium,verified,
33,Atlantic Union Bank,bank,P1,Alex Hutton,Chief Information Security Officer,https://linkedin.com/in/alex-hutton-2632111b3,verified,
34,Hancock Whitney,bank,P2,Brian Mayeur,Chief Information Security Officer,https://linkedin.com/in/brianmayeur,verified,
35,BankUnited,bank,P2,David W. Stender,EVP Enterprise Risk Officer and CISO,https://linkedin.com/in/david-w-stender-cissp-csslp-cgrc-12a1487,verified,
36,Banc of California,bank,P2,James O'Brien,Chief Information Security Officer,https://linkedin.com/in/jamesbobrien,likely,
37,FNBO,bank,P1,Jeffrey C. Weeks,SVP and Chief Information Security Officer,https://linkedin.com/in/jeff-weeks-82ab4312,verified,
38,United Bank,bank,P1,Erica Fowler,SVP Chief Information Security Officer,https://linkedin.com/in/erica-fowler-6414257a,verified,
39,Commerce Bank,bank,P1,Jill Brungardt,Chief Information Security Officer,,verified,
40,Fulton Bank,bank,P1,Chris Stoneley,EVP and Chief Information Security Officer,https://linkedin.com/in/cdstoneley,verified,
41,Glacier Bancorp,bank,P2,Sam Mauch,VP and Chief Information Security Officer,,likely,
42,Texas Capital Bank,bank,P1,Russ Murrell,Chief Information Security Officer,https://linkedin.com/in/russ-m-623692,verified,
43,Eastern Bank,bank,P1,Joshua Neffinger,SVP Chief Information Security Officer,https://linkedin.com/in/joshua-neffinger-1b9bb618,verified,
44,Arvest Bank,bank,P2,Mike Calvi,Chief Information Security Officer,https://linkedin.com/in/mikecalvi,verified,
45,WaFd Bank,bank,P2,Shane Mohr,Chief Information Security Officer,https://linkedin.com/in/shane-mohr-9a67284,verified,
46,Axos Bank,bank,P1,Raghu Valipireddy,SVP CISO Axos Financial,https://linkedin.com/in/raghu-valipireddy-66131a3,verified,
47,Renasant Bank,bank,P2,Mike Whitt,Chief Information Security Officer,https://linkedin.com/in/mike-whitt-a4b4802,verified,
48,First Interstate,bank,P2,Dale Daugherty,VP Chief Information Security Officer,https://linkedin.com/in/dale-daugherty-5ab6a32b,verified,
49,Cathay Bank,bank,P2,Curt Cassingham,VP Information Security Officer (interim),https://linkedin.com/in/curt-cassingham-4a72b313,needs_verify,CISO role open since Oct 2025
50,Simmons Bank,bank,P2,Kendall Reese,SVP Chief Information Security Officer,https://linkedin.com/in/kendall-reese-4a1a32260,verified,
51,Bank of Hawaii,bank,P2,Ryan A. Field,EVP Chief Information Security Officer,https://linkedin.com/in/ryanfield-cyber,verified,
52,First Hawaiian Bank,bank,P2,Adam Palmer,Chief Information Security Officer,https://linkedin.com/in/globalciso,verified,
53,Customers Bank,bank,P1,Parthiv Shah,CISO SVP,https://linkedin.com/in/parthivshah,likely,
54,WSFS Bank,bank,P1,Robert Eastwood,SVP Chief Information Security Officer,https://linkedin.com/in/rob-eastwood-1776705,verified,
55,TowneBank,bank,P1,Ryan Cochran,EVP and Chief Information Security Officer,,verified,
56,SchoolsFirst FCU,credit_union,P2,TBD,VP Information Security,,needs_verify,Role was recruiting
57,BECU,credit_union,P2,Sean Murphy,SVP and Chief Information Security Officer,,verified,
58,PenFed,credit_union,P2,Anthony LaManna,CISO SVP,https://linkedin.com/in/alamanna,verified,
59,America First FCU,credit_union,P1,Andrew Qualls,VP Chief Information Security Officer,https://linkedin.com/in/andrew-qualls,verified,
60,Mountain America FCU,credit_union,P1,Brandon Eberhard,Director Technology and Data Risk,https://linkedin.com/in/brandon-eberhard-93671710b,likely,No public CISO
61,Golden 1 CU,credit_union,P1,Andrew Hartridge,Chief Security Officer,https://linkedin.com/in/andrew-hartridge,verified,
62,Alliant CU,credit_union,P1,Sue Payne,Chief Information Security Officer,https://linkedin.com/in/suempayne,verified,
63,Suncoast CU,credit_union,P1,John Raymond,VP Information Security,https://linkedin.com/in/john-raymond-192b8962,verified,
64,RBFCU,credit_union,P1,John Hanson,Interim VP Information Security,https://linkedin.com/in/john-hanson-cisa-crisc-cciso-grc-ceh-cgeit-45298317,likely,
65,First Technology FCU,credit_union,P1,Christopher Logan,SVP and CISO Interim,https://linkedin.com/in/logancm,verified,
66,Lake Michigan CU,credit_union,P1,TBD,CISO or VP Information Security,,needs_verify,Jeromy Butts departed 2025
67,Idaho Central CU,credit_union,P1,Nick Stafford,Chief Security Officer,https://linkedin.com/in/nick-stafford-72b18ab,verified,
68,Security Service FCU,credit_union,P1,Andrew Espinoza,VP IT GRC Officer,,likely,No public CISO
69,VyStar CU,credit_union,P1,Carl Scaffidi,CISO SVP,https://linkedin.com/in/carlscaffidi,verified,
70,Digital FCU,credit_union,P1,Christopher Logan,VP Information Security,https://linkedin.com/in/logancm,verified,
71,GreenState CU,credit_union,P1,Sean Etheridge,Information Security Officer,https://linkedin.com/in/sean-etheridge,likely,
72,Ent CU,credit_union,P1,Michael James,Enterprise Security Officer,https://linkedin.com/in/michael-james-18166b11,likely,
73,SDCCU,credit_union,P1,Scott Maxwell,SVP Chief IT Security Officer,,verified,
74,Patelco CU,credit_union,P1,Brian Kreitzer,VP Information Security Officer,https://linkedin.com/in/brianjkreitzer,likely,
75,OnPoint CU,credit_union,P1,TBD,CISO or VP Information Security,,needs_verify,Damian Laviolette promoted to CIO Nov 2024
76,ESL FCU,credit_union,P1,Matthew Davis,VP Director CISO,https://linkedin.com/in/matt-davis-cissp-1a8a922,verified,
77,Delta Community CU,credit_union,P1,Abdul Hussain,CRO and CISO,,verified,
78,Redstone FCU,credit_union,P1,Mitch Peters,VP Information Security,,verified,
79,Members 1st FCU,credit_union,P1,Kevin King,VP IT Security ISO,https://linkedin.com/in/kevin-king-0649b035,verified,
80,Veridian CU,credit_union,P2,TBD,CISO or VP Information Security,,needs_verify,CIO leads IT and Security
81,Virginia CU,credit_union,P2,Allen Jenkins,VP Information Security Officer,https://linkedin.com/in/allen-jenkins-2a4a281,verified,
82,Kinecta FCU,credit_union,P2,Paul Madore,Director Information Security Officer,,likely,
83,Navy Federal FCU,credit_union,P3,Michael Newborn,Chief Information Security Officer,https://linkedin.com/in/mikenewborn,verified,
84,State Employees CU,credit_union,P3,Jonathan Dallaire,Chief Security Officer EVP,https://linkedin.com/in/jonathandallaire,verified,
85,Wings Financial FCU,credit_union,P2,Todd Carreno,VP Chief Information Security Officer,https://linkedin.com/in/toddcarreno,verified,
86,Finix,payment_processor,P1,Gurpal Singh,Head of Compliance (security function),,likely,No formal CISO
87,Marqeta,payment_processor,P2,Heather Gantt-Evans,CISO SVP Cybersecurity,https://linkedin.com/in/heather-gantt-evans,verified,
88,Lithic,payment_processor,P1,Yuliya Kazakevich,Head of Risk and Compliance,,needs_verify,No public CISO
89,Highnote,payment_processor,P1,Chris Chen,Head of Infrastructure and CISO,https://linkedin.com/in/chrischen1,verified,
90,Qolo,payment_processor,P1,TBD,Chief Information Security Officer,,needs_verify,Prior CISO may have departed 2025
91,Spreedly,payment_processor,P1,Jennifer Rosario,Chief Information Security Officer,,verified,
92,Ingo Payments,payment_processor,P2,Lance Buttars,SVP Payments Technology and Information Security,,verified,
93,Dwolla,payment_processor,P1,TBD,CISO or VP Information Security,,needs_verify,
94,Moov,payment_processor,P1,Jeff Wilkinson,Security and Compliance Architect,,likely,
95,TabaPay,payment_processor,P1,Brian J. Costello,Chief Information Security Officer,,verified,
96,PayNearMe,payment_processor,P2,Carol Lee Hobson,Chief Information Security Officer,https://linkedin.com/in/carol-lee-hobson,verified,
97,Galileo,payment_processor,P2,Kurt Sauer,CISO SoFi Technologies,https://linkedin.com/in/kurtsauer,likely,Parent SoFi CISO
98,Sardine,payment_processor,P2,Bil Corry,Chief Information Security Officer,https://linkedin.com/in/bilcorry,verified,
99,Alloy,payment_processor,P2,TBD,VP Infrastructure and Security,,needs_verify,Lee Laslo departed
100,Shift4,payment_processor,P3,Oren Gur,SVP Enterprise Security and CISO,https://linkedin.com/in/oren-gur-1079251a,verified,
